1,Boyd Russel,1951-04-17
2,Ludwig McCullough,1984-06-23
3,Nyah O'Conner,1989-08-21
4,Roger Schmidt,1995-07-09
5,Michele Gottlieb,1957-12-28
6,Dennis Stamm,1954-11-10
7,Albertha Romaguera,1982-03-06
8,Kirstin Emmerich,1979-06-02
9,Verlie Torphy,1981-10-30
10,Nicolette Rosenbaum,1988-03-13
11,Nolan O'Keefe,1974-12-28
12,Jeanne Macejkovic,1975-06-12
13,Cassie Lehner,1959-11-27
14,Allison Keebler,1993-11-05
15,Louvenia Jacobs,1989-12-30
16,Cathy Simonis,1978-06-27
17,Celestine Hammes,1986-05-04
18,Ciara Wolff,1990-01-18
19,Marlin Daniel,1975-08-27
20,Neil Gorczany,1962-03-31
21,Melany Friesen,1984-12-28
22,Ward Kessler,1964-09-13
23,Olen Rohan,1983-08-02
24,Celia Cruickshank,1951-07-01
25,Enola Metz,1950-05-21
26,Wyatt Collins,1982-01-01
27,Avery Christiansen,1987-06-20
28,Arely Heaney,1953-05-20
29,Wilhelm Armstrong,1986-03-09
30,Ena Cormier,1979-06-15
31,Kirk Leannon,1965-06-19
32,Casimer Ferry,1982-06-04
33,Anjali Ebert,1998-02-23
34,Tania Kassulke,1955-04-22
35,Felicita Nikolaus,1959-06-08
36,Marisol Kihn,1999-03-02
37,Donnie Abernathy,1957-08-27
38,Esther Lockman,1990-02-12
39,Irwin Howe,1966-07-30
40,Cortney McClure,1962-05-15
41,Shea Pacocha,1989-10-14
42,Vance Brekke,1993-11-25
43,Lilian Wisozk,1980-04-08
44,Gerard Lynch,1959-06-25
45,Maribel Corwin,1961-05-20
46,Newton Cruickshank,1970-02-05
47,Claud O'Connell,1997-07-28
48,Mariam Sipes,1965-08-31
49,Mohammed Johnston,1981-11-19
50,Clovis Blanda,1957-04-26
51,Dewayne Kutch,1986-12-31
52,Aaron Lehner,1984-03-28
53,Derick Cronin,1960-12-06
54,Paris Fadel,1981-11-21
55,Gwen Reilly,1955-05-19
56,Lindsey Muller,1959-12-11
57,Mabelle Eichmann,1954-09-21
58,Freda Green,1963-03-06
59,Leslie Cremin,1993-12-23
60,Myrtie Mohr,1957-07-25
61,Rowena Bahringer,1954-11-17
62,Ignatius Heaney,1954-02-01
63,Lilian Kertzmann,1969-03-05
64,Shannon Will,1989-08-31
65,Concepcion Stoltenberg,1969-08-25
66,Oceane Hilll,1964-02-20
67,Omer Lebsack,1993-12-25
68,Manuela McKenzie,1983-10-01
69,Geraldine Miller,1979-04-03
70,Lawrence Toy,1997-12-17
71,Viva Bradtke,1998-09-22
72,Kendra Tromp,1961-05-26
73,Nora Feest,1961-06-09
74,Genesis Koepp,1975-05-17
75,Anika Hamill,1973-09-29
76,Lonzo Graham,1954-05-13
77,Rebekah Doyle,1968-12-21
78,Karina Hirthe,1984-02-23
79,Laila Collier,1965-03-13
80,Hilda Goodwin,1995-03-05
81,Elian Turcotte,1983-01-01
82,Esta Cruickshank,1973-07-19
83,Otho Schultz,1970-03-20
84,Uriah Hilll,1991-08-09
85,Payton Altenwerth,1968-08-23
86,Lenna Franecki,1966-11-04
